KEY	DATA	ACONTECIMENTO	ÂMBITO	VALIDADO	FONTES	LEGENDAS	NOTAS	TIPO	LINK
1962100900	1962-10-09	Criação do Instituto de Estudos Sociais, com atividades de ensino, no Ministério das Corporações e Previdência Social	Iscte	sim	Decreto n.º 44620 in Diário do Governo n.º 232, I Série, 9/10/1962, pp. 1330-1332 - acessível em https://files.dre.pt/1s/1962/10/23200/13291330.pdf	Decreto nº. 44 620		documento	https://files.dre.pt/1s/1962/10/23200/13291330.pdf
1962123100	1962-12-31	Criação do Gabinete de Investigações Sociais, liderado por Adérito Sedas Nunes, neste ano	Iscte	sim	http://analisesocial.ics.ul.pt/?page_id=1411	Breve Historia da Revista "Análise Social"		pagina_web	http://analisesocial.ics.ul.pt/?page_id=1411
1963013100	1963-01-31	Criada a Revista Análise Social, dirigida por Adérito Sedas Nunes	Nacional	sim	http://analisesocial.ics.ul.pt/?page_id=1411	Revista "Análise Social" - REvista do Instituto de Ciências Sociais da Universidade de Lisboa		pagina_web	http://analisesocial.ics.ul.pt/?page_id=1411
1971010600	1971-01-06	Ministro da Educação José Veiga Simão anuncia a reforma da educação em Portugal	Nacional	sim		Ministro da Educação José Veiga Simão na RTP sobre a reforma da educação em Portugal		video	https://arquivos.rtp.pt/conteudos/comunicacao-de-jose-veiga-simao/
1972121500	1972-12-15	Criação do ISCTE, na dependència da Direccão-Geral do Ensino Superior, integrando os alunos do Instituto de Estudos Sociais.	Iscte	sim	Decreto Lei nº. 520/72 de 15 de Dezembro in Diário do Governo n.º 290, I Série, 9/10/1962, pp. 1940-1945 - acessível em https://files.dre.pt/1s/1972/12/29000/19401945.pdf	Decreto Lei nº. 520/72 de 15 de Dezembro		documento	https://files.dre.pt/1s/1972/12/29000/19401945.pdf
1972121501	1972-12-15	Criação de licenciaturas em Organização e Gestão de Empresas e em Ciências do Trabalho no ISCTE, no quadro de uma reestruturação dos cursos lecionados nos então ISCEF e ISCPU. Os alunos  excedentários de um destes institutos podem ir para outros, sendo este o caso de Economia.	Iscte	sim	Decreto-Lei n.º 522/72 de 15 de Dezembro in Diário do Governo n.º 290, I Série, 15/12/1972, pp. 1946-1950 - acessível em https://files.dre.pt/1s/1972/12/29000/19461950.pdf	Decreto Lei nº. 522/72 de 15 de Dezembro		documento	https://files.dre.pt/1s/1972/12/29000/19461950.pdf
1972121502	1972-12-15	Instalações funcionam no Campo Grande 185	Iscte	sim	Santos, Carlos Oliveira, "Formar para a Sociedade do Conhecimento INDEG-ISCTE 30 anos", Lisboa, ISCTE, 2018, p. 23 - acessível em https://repositorio.iscte-iul.pt/handle/10071/17835; Santos, Carlos Oliveira, "Afirmação de uma identidade. 45 anos de ISCTE - Instituto Universitário de Lisboa", ISCTE - Instituto Universitário de Lisboa, pp 70-71 - acessível em https://repositorio.iscte-iul.pt/handle/10071/17835	Publicação on-line,  Santos, Carlos Oliveira, Livro "Formar para a Sociedade do Conhecimento - INDEG-ISCTE 30 anos,  2018	FALTA FOTOGRAFIA	pagina_web	https://repositorio.iscte-iul.pt/handle/10071/17835
1972123100	1972-12-31	Número de estudantes (neste ano lectivo): 296, sendo 66 de Organização e Gestão de Empresas, 11 de Ciências do Trabalho e 219 de Economia	Iscte	sim	Seviços Académicos citados por Oliveira, José Manuel Paquete de, “ISCTE: 20 anos a fazer universidade fora da academia”, Sociologia - Problemas e Práticas, Nº 13, 1993, p. 182  - acessível em https://sociologiapp.iscte-iul.pt/fichaartigo.jsp?pkid=276	Publicação on-line de José Manuel Paquete de, “ISCTE: 20 anos a fazer universidade fora da academia”, Sociologia - Problemas e Práticas, Nº 13, 1993		pagina_web	https://sociologiapp.iscte-iul.pt/fichaartigo.jsp?pkid=276
1973010100	1973-01-01	CEE: adesão da Dinamarca, Irlanda e Reino Unido	Internacional	sim		The first enlargement (1973)		video	https://www.youtube.com/watch?v=GyTDpmi1eQY
1973072500	1973-07-25	Publicação de "Lei de Bases do Sistema Educativo", também conhecida como Reforma Veiga Simão	Nacional	sim	Lei nº 5/73 in Diário do Governo nº 173, I Série, pp. 1315-1321 - acessível em https://files.dre.pt/1s/1973/07/17300/13151321.pdf	Lei Nº5/73 de 25 de Julho de 1973 (Reforma Veiga Simão)		documento	https://files.dre.pt/1s/1973/07/17300/13151321.pdf
