 	PERGUNTA	Link Imagem	VALIDADO	RESPOSTA CORRETA	Tipo de Pergunta	KEY	Estado	DATA	ACONTECIMENTO	ÂMBITO	COMENTÁRIO
5	Qual a licenciatura mais antiga no Iscte?		TRUE	Licenciatura em Ciências do Trabalho; Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro;Licenciatura em Organização e Gestão de Empresas (OGE); Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro;Licenciatura em Economia; Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro;	Cronologia	1972121501	Ok	1972-12-15	Criação de licenciaturas em Organização e Gestão de Empresas e em Ciências do Trabalho no ISCTE, no quadro de uma reestruturação dos cursos lecionados nos então ISCEF e ISCPU. Os alunos  excedentários de um destes institutos podem ir para outros, sendo este o caso de Economia.	Iscte	
6	Qual o primeiro endereço do Iscte?	https://www.flickr.com/photos/iscteiul/51943990973/in/album-72177720297419006/	TRUE	Instalações funcionam no Campo Grande 185. Decreto-Lei n.º 522/72, Diário do Governo n.º 290/1972, Série 1 de 15 de Dezembro	Cronologia	1972121502	Ok	1972-12-15	Instalações funcionam no Campo Grande 185	Iscte	
7	Qual a relação da Feira Popular de Lisboa com o Iscte?		TRUE	Aulas	Cronologia	1975123101	Ok	1975-12-31	Ano letivo funciona também em espaço alugado da Feira Popular de Lisboa	Iscte	
9	Qual a singularidade do estudante Abel do Santos Alves		TRUE	O número de matrícula	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
11	O Iscte esteve integrado na Universidade Nova de Lisboa?		TRUE	Sim	Cronologia	1973081100	Para alterar	1973-08-11	Criação da Universidade Nova de Lisboa, onde figura o ISCTE, bem como das Universidades do Minho, Aveiro e do Instituto Universitário de Évora	Iscte	Pergunta não devia ser binária. Possíveis respostas (Universidade Nova de Lisboa, Universidade Técnica de Lisboa, Universidade Clássica de Lisboa, Universidade Aberta)
12	O Iscte esteve integrado na Universidade Técnica de Lisboa		TRUE	Não	Cronologia	1983042900	Para alterar	1983-04-29	Criação dos doutoramentos em Organização e Gestão de Empresas, Sociologia e Antropologia Social através do ISCTE conferido pela Universidade Técnica de Lisboa	Iscte	Pergunta devia ser: "Que outra universidade atribuiu graus de doutoramentos realizados no ISCTE?". Possíveis respostas (Universidade Nova de Lisboa, Universidade Técnica de Lisboa, Universidade Clássica de Lisboa, Universidade Aberta)
13	Qual é a licenciatura mais recente do Iscte?		TRUE	Licenciatura em Ciência de Dados; Despacho n.º 11562/2019, DR n.º 235/2019, Série 2 de 6 de Dezembro	Cronologia	2019120601	Para alterar	2019-12-06	Criação da Licenciatura em Ciência de Dados	Iscte	Alterar pergunta para "Qual é a licenciatura mais recente no campus de Lisboa do Iscte?"
14	O Professor Mário Murteira foi ministro de..		TRUE	Ministro do Planeamento e Coordenação Económica	Cronologia	1975032601	Ok	1975-03-26	Mário Murteira, ministro do Planeamento e Coordenação Económica do IV Governo Provisório	Nacional	
15	O Professor Mário Murteira foi ministro de..		TRUE	Ministro dos Assuntos Sociais	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
16	Quando se realizou o primeiro protesto de estudantes do Iscte por um controlo democrático do ensino?		TRUE	26 Junho 1974	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
17	Quando foi a queda dos coronéis na Grécia?		TRUE	24 Julho 1974	Cronologia	1974071500	Ok	1974-07-15	Grécia: queda da ditadura dos Coronéis	Internacional	
18	Em que ano se inicia a construção do edifício Sedas Nunes?		TRUE	1976	Cronologia	1976123100	Ok	1976-12-31	Início da construção do edifício I, atual edifício Sedas Nunes, neste ano	Iscte	
19	O professor José Joaquim Laginha foi...	https://www.flickr.com/photos/iscteiul/51970032427/in/album-72177720297729830/	TRUE	Presidente do Conselho Pedagógico;Presidente do Conselho Diretivo;	Cronologia	1977050300	Ok	1977-05-03	José Joaquim Laginha é presidente do Conselho Diretivo (eleito)	Iscte	aparece também em: 1979042600
20	Em que ano se atingem 10000 discentes?		TRUE	2012	Dimensões	2015093000	Duvida	2015-09-30	Número de estudantes: 10646	Iscte	apenas em 2015 temos atualização na timeline  do numero de alunos (a atualiação previa a esta é em 2010 com chave: 2010093000)
21	Que funções políticas teve o Professor Adérito Sedas Nunes?		TRUE	Ministro da Cultura e Ciência	Cronologia	1979080100	Ok	1979-08-01	Adérito Sedas Nunes, Ministro da Cultura e da Ciência do V Governo Constitucional	Nacional	
22	A Professora Maria João Rodrigues foi ministra de..		TRUE	Ministra da Qualificação e Emprego	Cronologia	1995103000	Ok	1995-10-30	Maria João Rodrigues, ministra da Qualificação e Emprego	Nacional	
23	Paulo Pedroso foi ministro de...		TRUE	Ministro do Trabalho e da Solidariedade	Cronologia	2001031002	Ok	2001-03-10	Paulo Pedroso, ministro do Trabalho e da Solidariedade 	Iscte	
24	Eduardo Ferro Rodrigues foi ministro de...		TRUE	Ministro do Trabalho e da Solidariedade	Cronologia	1997112500	Ok	1997-11-25	Eduardo Ferro Rodrigues, ministro do Trabalho e da Solidariedade	Iscte	
25	Eduardo Ferro Rodrigues foi ministro de...		TRUE	Ministro do Equipamento Social	Cronologia	2001031001	Ok	2001-03-10	Eduardo Ferro Rodrigues, ministro do Equipamento Social	Iscte	
26	A Professora Maria de Lurdes Rodrigues foi ministra de...		TRUE	Ministra da Educação	Cronologia	2005031201	Ok	2005-03-12	Maria de Lurdes Rodrigues, ministra da Educação	Iscte	
27	O Professor José António Vieira da Silva foi ministro de...		TRUE	Ministro do Trabalho e da Solidariedade Social	Cronologia	2005031200	Ok	2005-03-12	José António Vieira da Silva, ministro do Trabalho e da Solidariedade Social	Iscte	
28	O Professor Luís Filipe Pereira foi ministro de...		TRUE	Ministro da Saúde	Cronologia	2002040600	Ok	2002-04-06	Luís Filipe Pereira, ministro da Saúde	Iscte	
29	O Professor Pedro Adão e Silva é ministro de...		TRUE	Ministro da Cultura	Cronologia	2022033001	Ok	2022-03-30	Pedro Adão e Silva, ministro da Cultura	Iscte	
30	O Professor João Leão foi ministro de..		TRUE	Ministro de Estado e das Finanças	Cronologia	2020061500	Ok	2020-06-15	João Leão, ministro de Estado e das Finanças	Iscte	
31	A Professora Helena Carreiras foi ministra de..		TRUE		Cronologia		Duvida	#N/A	#N/A	#N/A	Pergunta não se encontra na base de dados: https://194.210.120.48/
32	Quantos reitores teve o Iscte?		TRUE	2	Dimensões	2009110600	Ok	2009-11-06	Luís Antero Reto é eleito Reitor 	Iscte	reitora: 2018030800
33	Em que ano se introduz o Numeros Clausus nas universidades?		TRUE	1978	Cronologia	1978101400	Ok	1978-10-14	Institucionalização do Numerus Clausus	Nacional	
34	O Iscte faz parte do Conselho de Reitores das Universidades Portuguesas (CRUP)?		TRUE	Sim	Cronologia	2005060300	Ok	2005-06-03	Integração no Conselho de Reitores da Universidades Portuguesas (CRUP)	Iscte	
35	Em que ano o Iscte aderiu ao Conselho de Reitores das Universidades Portuguesas (CRUP)?		TRUE	2005	Cronologia	2005060300	Ok	2005-06-03	Integração no Conselho de Reitores da Universidades Portuguesas (CRUP)	Iscte	
36	Em que ano foi defendido o primeiro doutoramento no Iscte?		TRUE	1982	Cronologia	1982052000	Ok	1982-05-20	Aprovação das especialidades em que a Universidade Técnica, através do ISCTE, confere o grau de doutor em Sociologia	Iscte	
37	Em que ano foi defendido o primeiro doutoramento em Sociologia?		TRUE	1982	Cronologia	1982052000	Ok	1982-05-20	Aprovação das especialidades em que a Universidade Técnica, através do ISCTE, confere o grau de doutor em Sociologia	Iscte	
38	Em que ano foi defendido o primeiro doutoramento em Antropologia Social?		TRUE	1989	Cronologia	1989072500	Ok	1989-07-25	Primeiro Doutoramento em Antropologia Social, José Fialho Feliciano	Iscte	
39	Em que ano foi defendido o primeiro doutoramento em Serviço Social?		TRUE	2010	Cronologia	2010042600	Ok	2010-04-26	Primeiro doutoramento em Serviço Social, Jorge Ferreira	Iscte	
40	Em que ano foi defendido o primeiro doutoramento em Economia?		TRUE	1998	Cronologia	1998072100	Ok	1998-07-21	Primeiro Doutoramento em Economia, Raúl Manuel Gonçalves Lopes	Iscte	
41	Em que ano foi defendido o primeiro doutoramento em História Social Contemporânea?		TRUE	1996	Cronologia	1996012800	Ok	1996-01-28	Primeiro Doutoramento em História Social Contemporânea, Carlos Coelho Mauricio	Iscte	
42	Em que ano foi defendido o primeiro doutoramento em Organização e Gestão de Empresas (OGE)?		TRUE	1994	Cronologia	1994111700	Ok	1994-11-17	Primeiro Doutoramento em Organização e Gestão de Empresas, Victor Roldão	Iscte	
43	Em que ano foi defendido o primeiro doutoramento em Psicologia Social e Organizacional?		TRUE	1994	Cronologia	1994030700	Ok	1994-03-07	Primeiro Doutoramento em Psicologia Social e Organizacional, Maria Luísa Pedroso de Lima	Iscte	
44	Em que ano foi defendido o primeiro doutoramento em Estudos Africanos?		TRUE	2002	Cronologia	2002111800	Ok	2002-11-18	Primeiro doutoramento em Estudos Africanos Interdisciplinares em Ciências Sociais, Vitor Hugo Nicolau	Iscte	
45	Em que ano foi  defendido o primeiro doutoramento em Direito das Empresas (descontinuado)?		TRUE	2006	Cronologia	2006021300	Ok	2006-02-13	Primeiro Doutoramento em Direito das Empresas (descontinuado), Maria Adelaide Croca	Iscte	
46	Em que ano foi defendido o primeiro doutoramento em Métodos Quantitativos?		TRUE	2004	Cronologia	2004070600	Ok	2004-07-06	Primeiro Doutoramento em Métodos Quantitativos, Maria Teresa Calapêz	Iscte	
47	Em que ano foi defendido o primeiro doutoramento em Ciências e Tecnologias da Informação?		TRUE	1998	Cronologia	1998100600	Ok	1998-10-06	Primeiro Doutoramento em Ciências e Tecnologias da Informação, Miguel Sales Dias	Iscte	
48	Em que ano foi defendido o primeiro mestrado em Sociologia?		TRUE	1992	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
49	Em que ano foi defendido o primeiro mestrado em Ciências Empresariais?		TRUE	1991	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
50	Qual é a posição do artigo sobre a ilha da Trinidad?	https://www.flickr.com/photos/iscteiul/52013234696/in/album-72177720298200772/	TRUE	Posição 1	AutoExplicativa		Não Colocar	#N/A	#N/A	#N/A	
51	Em 1984, que fatores levaram ao aumento do quadro de funcionários no Iscte?	https://www.flickr.com/photos/iscteiul/51970032427/in/album-72177720297729830/	TRUE	Explosão escolar;Institucionalização de novos cursos;	Quotidiano		Não Colocar	#N/A	#N/A	#N/A	imagem errada, exploão escolar poderia ser mais claro
52	Qual é o título do artigo do Professor Raul Iturra?	https://www.flickr.com/photos/iscteiul/51970032427/in/album-72177720297729830/	TRUE	Estratégias da organização doméstica na produção na Galiza rural	AutoExplicativa		Não Colocar	#N/A	#N/A	#N/A	
53	Identifique a autoria do artigo intitulado A Saúde na Sociologia	https://www.flickr.com/photos/iscteiul/51971106468/in/album-72177720297729830/	TRUE	Graça Carapinheiro	AutoExplicativa		Não Colocar	#N/A	#N/A	#N/A	
54	O programa Erasmus visa a mobilidade estudantil no espaço europeu. Em que ano foi criado?		TRUE	1987	Cronologia	1987061500	Ok	1987-06-15	Criação do Programa Erasmus (entre os seus promotores europeus está Manuel Marín (1949-2017) 	Internacional	
55	A autonomia universitária prevê as vertentes científica, pedagógica, administrativa e financeira, disciplinar. Em que ano foi promulgada essa lei?		TRUE	1988	Cronologia	1988092400	Ok	1988-09-24	Lei da Autonomia das Universidades	Nacional	
56	Qual é a autoria do artigo Logística e economia na CPLP. O lado oculto da produtividade?		TRUE	Eurico Brilhante Dias	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
57	Medalha	https://www.flickr.com/photos/iscteiul/52013292963/in/album-72177720298200772/	FALSE	Comemorativa dos 20º aniversário	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
58	Identifique o objeto	https://www.flickr.com/photos/iscteiul/52013292963/in/album-72177720298200772/	TRUE	Objeto evocativo	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
59	Identifique o objeto	https://www.flickr.com/photos/iscteiul/52012208227/in/album-72177720298200772/	TRUE	Objeto evocativo	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
60	Identifique o objeto	https://www.flickr.com/photos/iscteiul/52013754725/in/album-72177720298200772/	TRUE	Pisa papéis	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
62	Medalha	https://www.flickr.com/photos/iscteiul/52014086972/in/album-72177720298221622/	FALSE	Comemorativa dos 40º aniversário	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
64	Identifique o objeto	https://www.flickr.com/photos/iscteiul/52014086972/in/album-72177720298221622/	TRUE	Medalha comemorativa	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
65	Medalha		FALSE	Comemorativa dos 25º aniversário	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
66	Objeto evocativo	https://www.flickr.com/photos/iscteiul/52013754725/in/album-72177720298200772/	FALSE	Refere-se aos 25º. aniversário	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
67	Nascido para inovar" é o título do livro comemorativo dos 35 anos do Iscte. Quando aconteceu?"		TRUE	2007	Cronologia	2007121500	Ok	2007-12-15	Publicação de "ISCTE 35 anos. Nascido para inovar" (organizado por Carlos Oliveira Santos, Luísa Tiago de Oliveira e Jorge Freitas Branco)	Iscte	
68	Formar para a sociedade do conhecimento. INDEG-ISCTE 30 anos" é o título do livro comemorativo dos 30 anos do INDEG. Quando aconteceu?"		TRUE	2018	Cronologia	2018110201	Ok	2018-11-02	Publicação de "Formar para a sociedade do conhecimento. INDEG-ISCTE. 30 anos" (Carlos Oliveira Santos)	Iscte	
69	Afirmação de uma identidade. 45 anos de ISCTE Instituto Universitário de Lisboa" é o título do livro comemorativo dos 45 anos do Iscte. Quando aconteceu?"		TRUE	2017	Cronologia	2017121501	Ok	2017-12-15	Publicação de "Afirmação de uma identidade. 45 anos de ISCTE Instituto Universitário de Lisboa" (Carlos Oliveira Santos)	Iscte	
70	Até onde nos leva o saber. Uma história de 40 anos do ISCTE Instituto Universitário de Lisboa" é o título do livro comemorativo dos 40 anos do Iscte. Quando aconteceu?"		TRUE	2012	Cronologia	2012121500	Ok	2012-12-15	Comemoração dos 40 anos. Publicação do livro “Até onde nos leva o saber. Uma história dos 40 anos do ISCTE Instituto Universitário de Lisboa” (Carlos Oliveira Santos)	Iscte	
71	Em 2017 foi elaborado o documento A praxe como fenómeno social. Relatório final". Quem o encomendou?"		TRUE	Direção-Geral do Ensino Superior (DGES)	Cronologia	2017013100	Ok	2017-01-31	Publicação de "Praxe como fenómeno social. Relatório Final" (coordenado por João Teixeira Lopes e João Sebastião), estudo solicitado pela Direção Geral do Ensino Superior	Nacional	
72	O Grande Auditório fica no edifício 2. Qual a sua lotação?		TRUE	497	Dimensões	2002060100	Duvida	2002-06-01	Edifício II: Inauguração do Grande Auditório (500 lugares)	Iscte	Cronologia refere 500 lugares
73	Praça central (2.315 m2): quantas oliveiras tem?		TRUE	9	Georeferenciação		Ok	#N/A	#N/A	#N/A	
74	Remodelação do pavilhão interior (1870 m2): quantos limoeiros tem?		TRUE	7	Georeferenciação		Ok	#N/A	#N/A	#N/A	
75	Qual é a árvore comemorativa do cinquentenário?		TRUE	Árvore da Vida	Cronologia	2022030701	Ok	2022-03-07	Plantada Árvore de Vida pelos 50 anos do Iscte	Iscte	
76	Qual o maior edifício do campus do Iscte?		TRUE	Edifício II	Georeferenciação		Ok	#N/A	#N/A	#N/A	
77	Qual é o acervo da Biblioteca?		TRUE	130.000 exemplares	Dimensões	1999111400	Duvida	1999-11-14	O acervo da Biblioteca contém cerca de 20.000 referências bibliográficas respeitantes aos documentos existentes	Iscte	cronologia: 20000 referencias enquanto que resposta da pergunta refere 130000 exemplares
78	O que é o mISCuTEm?		TRUE	Grupo de Teatro	Cronologia	2001091700	Ok	2001-09-17	Criação do grupo estudantil de teatro mISCuTEm	Iscte	
79	Existiu uma Universidade Metropolitana de Lisboa?		TRUE	Não	Cronologia	2002123103	Ok	2002-12-31	Negociações para a passagem do Iscte a Universidade Metropolitana (aprovada pelo XIV mas não homologada) neste ano	Iscte	
80	Desde quando funciona a plataforma Fenix no Iscte?		TRUE	2005	Cronologia	2005071800	Ok	2005-07-18	Protocolo com o Instituto Superior Técnico relativo ao Sistema FénixEDU	Iscte	
81	Qual foi o autor dos edifícios do Iscte?		TRUE	Raúl Hestnes Ferreira	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
82	Em que ano foi implementada a reforma de Bolonha?		TRUE	2006	Cronologia	2008073100	Duvida	2008-07-31	Neste ano e no anterior, tinham sido adequados ao modelo de Bolonha 14 cursos de licenciaturas, 27 mestrados e 6 doutoramentos	Iscte	anos não coincidem
83	Desde quando os estudantes deixaram de fazer as inscrições em papel?		TRUE	2008	Cronologia	2008090100	Ok	2008-09-01	Desmaterialização das inscrição dos estudantes	Iscte	
84	Em que altura o Iscte adere à rede Eduroam?		TRUE	2008	Cronologia	2008103100	Ok	2008-10-31	Adesão à rede Eduroam	Iscte	
85	O que é o Iscte?		TRUE	Fundação	Cronologia	2009042700	Ok	2009-04-27	Instituição da Fundação ISCTE-Instituto Universitário de Lisboa (ISCTE-IUL)	Iscte	
86	Com base na nova orgânica quantos departamentos tem o Iscte?		TRUE	16	Dimensões		Ok	#N/A	#N/A	#N/A	
87	Com base na nova orgânica quantas escolas tem o Iscte?		TRUE	5	Dimensões		Ok	#N/A	#N/A	#N/A	
88	Com base na nova orgânica quantas unidades de investigação tem o Iscte?		TRUE		Dimensões		Falta resposta	#N/A	#N/A	#N/A	resposta correta nao definida na base de dados
89	Quando começa a monitorização pedagógica desmaterializada?		TRUE	2008	Cronologia	2008053100	Ok	2008-05-31	Desmaterialização do Inquérito de monitorização pedagógica (1º ciclo)	Iscte	
90	Desde quando funciona o portal myISCTE (Intranet)?		TRUE	2014	Cronologia	2014121500	Ok	2014-12-15	Início de Intranet MyISCTE. https://intranet.iscte-iul.pt/user/login?destination=home	Iscte	
91	Em que ano o Iscte é classificado no no ranking Times Higher Education (THE)?		TRUE		Cronologia	2016123101	Ok	2016-12-31	ISCTE consta pela primeira vez, neste ano, no ranking do The Times Higher Education	Iscte	
92	Quando foi instituído o Código de Conduta Académica (plágio)?		TRUE	2017	Cronologia	2017010900	Ok	2017-01-09	Código de Conduta Académica (plágio)	Iscte	
93	O Iscte é a primeira universidade a obter a Certificação ambiental. Quando?		TRUE	2018	Cronologia	2018121100	Ok	2018-12-11	Iscte é a primeira universidade portuguesa a obter a Certificação Ambiental	Iscte	
94	O site do Ciberdúvidas é mantido por que instituição?		TRUE	Iscte-IUL	Cronologia	2019053100	Ok	2019-05-31	 Site Ciberdúvidas da Língua Português alojado no site do Iscte	Iscte	
95	Desde quando se atribuem contas de e-mail à comunidade?		TRUE		Cronologia	1993123100	Para alterar	1993-12-31	Atribuição de contas de e-mail à comunidade como alternativa ao fax nº +351217903059 e ao telex nº 62542ISCTE-P	Iscte	Não tem resposta
96	Praça central (2.315 m2): quantos citrinos tem?		TRUE	7	Georeferenciação		Ok	#N/A	#N/A	#N/A	
97	José Manuel Paquete Oliveira (1936- 2016), sociólogo, foi presidente do Conselho Diretivo.		TRUE	O auditório Paquete de Oliveira localiza-se: Canto ONE	Georeferenciação		Ok	#N/A	#N/A	#N/A	
98	Mário Murteira (1933-2013), economista, foi presidente do Conselho Científico e várias vezes ministro		TRUE	O auditório Mário Murteira localiza-se: ONE03	Georeferenciação		Ok	#N/A	#N/A	#N/A	
99	Carlos Caiano Pereira (1937-1991), licenciado em Finanças, foi presidente do Conselho Científico		TRUE	O auditório Caiano Pereira localiza-se: ONE02	Georeferenciação		Ok	#N/A	#N/A	#N/A	
100	José Joaquim Laginha (1915-1991), matemático, foi presidente do Conselho Diretivo		TRUE	O auditório J.J. Laginha localiza-se: Canto 1NE	Georeferenciação		Ok	#N/A	#N/A	#N/A	
101	António Silva Leal (1925-1988), licenciado em Finanças, especialista em Segurança Social		TRUE	O auditório Silva Leal localiza-se: AA, piso 1	Georeferenciação		Ok	#N/A	#N/A	#N/A	
102	Afonso de Barros (1939-1996), sociólogo, foi presidente do Iscte		TRUE	O auditório Afonso de Barros localiza-se: AA, piso 1	Georeferenciação		Ok	#N/A	#N/A	#N/A	
