Column1	Column2	Column3	Column4	Column5	Column6
O estudo da estrutura do corpo humano chama-se?	Ortopedia	Fisiologia	Anatomia	Filologia	3
O estudo do funcionamento dos órgãos internos é designado de?	Endocrinologia	Ortopedia	Estomatologia	Fisiologia	4
O que é a homeostase?	Um termo médico para estado de saúde perfeito	Um tipo de tratamento médico	O processo de manutenção do equilíbrio interno do corpo	Um tipo de exame de imagem	3
Qual é o nome do processo pelo qual o corpo transforma  os alimentos em substâncias utilizáveis pelo organismo?	Digestão	Circulação	Excreção	Respiração	1
O que é a pressão arterial?	A força exercida pelo ar sobre o corpo humano	A pressão interna nos pulmões	A pressão do sangue nas artérias	A pressão das artérias sobre os ossos	3
O que é a diabetes?	Um distúrbio metabólico caracterizado por níveis elevados de açúcar no sangue	Uma condição médica que afeta os pulmões	Uma doença infecciosa	Um distúrbio do sistema nervoso	1
O que é a radioterapia?	Um tipo de cirurgia usando ondas de rádio	Um exame de imagem médica	Um tratamento médico que utiliza radiação para destruir células cancerosas	Um tipo de terapia física	3
O que é a quimioterapia?	Um tipo de cirurgia de base química	Um tratamento médico que utiliza produtos químicos para matar células cancerosas	Um exame de imagem médica de tumores cancerígenos	Designação genérica para qualquer tratamento baseado em produtos químicos	2
Qual é o sistema do corpo responsável pela produção de hormonas?	Sistema endócrino	Sistema digestivo	Sistema circulatório	Sistema nervoso	1
Qual é o sistema do corpo responsável pela locomoção e apoio do corpo humano?	Sistema cardiovascular	Sistema muscular e esquelético	Sistema digestivo	Sistema nervoso	2
Qual é o  órgão responsável por produzir insulina no corpo humano?	Fígado	Apêndice	Pâncreas	Vesícula biliar	3
Qual é o nome da principal substância química de transmissão de sinais entre células nervosas no cérebro?	Serotonina	Insulina	Testosterona	Adrenalina	1
A obstetrícia é uma especialidade da medicina que se concentra em quê?	Obstipação	Gravidez e parto	Obesidade	Obstruções nos vasos sanguíneos	2
Qual é o sistema do corpo responsável pela produção de células sanguíneas?	Sistema respiratório	Sistema circulatório	Sistema urinário	Sistema linfático	4
O que é uma radiografia?	Uma fotografia do sistema nervoso	Um exame que utiliza radiação para produzir imagens internas do corpo	Um exame radiológico de sangue	Um exame que mede a densidade óssea	2
O que é a hipertensão arterial?	Pressão arterial baixa	Pressão arterial no hiperespaço	Pressão arterial elevada	Pressão arterial irregular	3
O que é um ecocardiograma?	Um exame de imagem que utiliza ondas sonoras para criar imagens do coração	Um exame para medir a pressão arterial	Um exame realizado com recurso a um esfigmomanómetro	Um exame que mede a densidade óssea	1
Qual o exame de diagnóstico que usa a técnica de raios X para sintetizar computacionalmente imagens dos órgãos internos?	Radiografia	Tomografia axial computorizada	Ressonância magnética	Ecografia	2
Qual o exame de diagnóstico que usa o campo magnético para sintetizar imagens de alta definição das estruturas internas dos órgãos?	Cintigrafia	Tomografia axial computorizada	Ressonância magnética	Ecografia	3
Qual o exame de diagnóstico que usa ondas sonoras para sintetizar imagens das estruturas internas do corpo humano?		Tomografia axial computorizada	Ressonância magnética	Ecografia	4
Qual o exame de diagnóstico onde uma substância radioativa administrada por via endovenosa se fixa num alvo específico, permitindo o seu estudo por imagens no equipamento designado por câmara-gama?	Cintigrafia	Tomografia axial computorizada	Ressonância magnética	Ecografia	1
Como se chama o exame de diagnóstico em que se regista a atividade elétrica do coração?	Eletrocussão	Eletroencefalograma	Eletrólise cardiográfica	Eletrocardiograma	4
O que é a diabetes tipo 2?	Uma doença autoimune	Um agravamento da diabetes tipo 1	Um distúrbio metabólico caracterizado pela resistência à insulina e níveis elevados de açúcar no sangue	Uma infecção bacteriana	3
O que é a asma?	Uma doença cardíaca	Uma doença que inflama e estreita as vias respiratórias	Uma infecção viral	Uma doença do sistema nervoso	2
O que é a artrite reumatoide?	Uma doença cardíaca	Uma doença autoimune que afeta as articulações, causando inflamação e dor	Uma infecção bacteriana	Uma doença do sistema nervoso	2
Qual o impacto do vírus da imunodeficiência humana (VIH)?	Causa a gripe	Afeta o sistema imunológico humano	Causa a diabetes	Afeta o sistema digestivo	2
O que é a hepatite?	Uma doença do sistema nervoso	Uma doença cardíaca	Uma inflamação viral do fígado	Uma doença do sistema circulatório	3
O que é a esclerose múltipla?	Uma doença cardíaca	Uma doença autoimune que afeta o sistema nervoso central	Uma infecção bacteriana	Uma doença do sistema digestivo	2
O que é a anemia?	Uma inflamação do estômago	Uma doença autoimune	Um déficit de glóbulos vermelhos saudáveis no sangue	Uma doença cardíaca	3
O que é a doença de Alzheimer?	Uma doença autoimune	Uma doença cardíaca	Uma doença neurodegenerativa que afeta a memória e as funções cognitivas	Uma doença do sistema respiratório	3
O que é a osteoporose?	Uma doença cardíaca	Uma perda de densidade óssea, tornando os ossos frágeis e suscetíveis a fraturas	Uma doença do sistema nervoso	Uma inflamação das articulações	2
Qual a designação dada a paragens temporárias da respiração durante o sono?	Alopecia	Apneia	Peneira	Síncope	2
Qual a designação do procedimento médico que utiliza um tubo flexível para examinar o interior do corpo?	Endoscopia	Cintigrafia	Ressonância magnética	Ecografia	1
O que é a fibromialgia?	Uma doença cardíaca	Uma condição médica caracterizada por dor muscular e sensibilidade generalizada	Uma doença autoimune	Uma inflamação do fígado	2
