Column1	Column2	Column3	Column4	Column5	Column6
Quem é considerado o fundador da psicanálise?	B.F. Skinner	Ivan Pavlov	Carl Rogers	Sigmund Freud	4
Qual é o nome da corrente artística que enfatizou a expressão das emoções e das experiências humanas no final do século XIX?	Renascimento	Barroco	Romantismo	Realismo	3
O que é a antropologia cultural?	O estudo das culturas antigas	O estudo das origens humanas	O estudo das sociedades humanas e suas culturas	O estudo da psicologia humana	3
Qual é a definição de "capitalismo"?	Um sistema económico onde os meios de produção são propriedade do Estado	Um sistema económico baseado na propriedade coletiva dos meios de produção	Um sistema económico onde os meios de produção são de propriedade privada e controlados pelo mercado	Um sistema económico baseado na troca de bens sem dinheiro	3
Qual é o termo que se refere ao estudo das línguas e sua estrutura?	Semiótica	Idiomática	Filologia	Linguística	4
Qual é o nome da corrente filosófica que enfatiza a importância da razão, lógica e argumentação crítica?	Empirismo	Racionalismo	Idealismo	Existencialismo	2
Quem foi o líder do movimento pelos direitos civis nos Estados Unidos, conhecido por seu discurso "I Have a Dream"?	Malcolm X	Nelson Mandela	Martin Luther King Jr.	Barack Obama	3
Quem é conhecido por suas experiências com o condicionamento clássico em cães?	Sigmund Freud	Ivan Pavlov	B.F. Skinner	Carl Jung	2
Qual é a forma mais comum de governo em que o poder é exercido por um único líder com autoridade absoluta?	Democracia	Monarquia	Anarquia	Oligarquia	2
Quem é considerado o "pai da filosofia política" e escreveu "A República", na qual discute a justiça, a política e a natureza do ser humano?	Platão	Aristóteles	Sócrates	Karl Marx	1
Qual é o nome do sistema de governo em que o poder é dividido entre um governo central e governos estaduais ou provinciais?	Monarquia absoluta	Federalismo	Teocracia	Ditadura	2
O que significa "estado de direito" em termos políticos?	Um estado onde a lei é aplicada de forma seletiva	Um estado onde os direitos dos cidadãos são protegidos pela lei	Um estado onde a lei não se aplica	Um estado onde não há leis	2
Qual é o nome do sistema de governo em que o poder é exercido por um pequeno grupo de pessoas?	Democracia	Oligarquia	Totalitarismo	Anarquia	2
Quem é considerado o fundador da filosofia política moderna e escreveu "O Príncipe", que discute estratégias de governo e liderança política?	Karl Marx	John Locke	Niccolò Machiavelli	Jean-Jacques Rousseau	3
Qual é o nome do sistema de governo em que o poder é exercido pelo povo, geralmente por meio de eleições?	Ditadura	Oligarquia	Democracia	Monarquia	3
O que é um "lobby" em termos de política?	Um grupo de legisladores	Um edifício do governo	Uma organização que influencia políticos em nome de interesses específicos	Um tipo de eleição	3
Qual é o termo para um governo em que um partido ou indivíduo exerce controle total sobre todas as áreas da vida pública e privada?	Democracia	Federalismo	Totalitarismo	Anarquia	3
O que é um "golpe de Estado"?	Um processo democrático de eleição de líderes	Uma revolta popular pacífica	Uma ação ilegal para derrubar um governo e assumir o poder	Um acordo internacional de paz	3
O que é a arqueologia?	O estudo das estrelas e planetas	O estudo das civilizações antigas por meio de suas ruínas e artefatos	A pesquisa de fósseis de dinossauros	O estudo da anatomia humana	2
Qual é o nome da antiga cidade romana destruída pela erupção do Monte Vesúvio em 79 d.C.?	Atenas	Roma	Pompéia	Cartago	3
Qual é o nome do antigo sistema de escrita pictográfica usado pelos antigos egípcios?	Hieróglifos	Cuneiforme	Alfabeto grego	Runas	1
Qual é o nome da antiga cidade maia que é famosa por suas pirâmides e observatório astronómico?	Tikal	Chichén Itzá	Machu Picchu	Teotihuacán	2
O que os arqueólogos chamam de "datação por carbono-14"?	Um método para medir as emissões de carbono na antiguidade	Um método para determinar a idade de artefatos e fósseis orgânicos	Um método para medir a idade das pirâmides egípcias	Um método para calcular a idade das estrelas	2
