Topic	Pergunta	hipotese_1	hipotese_2	hipotese_3	hipotese_4	respostaCerta		id	pergunta	respostaLLM0		id	pergunta	respostaLLM1
TECNOLOGIAS	O que é uma turbina eólica?	Um motor a vapor	Um dispositivo que gera eletricidade a partir do vento	Uma máquina de escavação	Um instrumento musical	2	TRUE	0	O que é uma turbina eólica?	3	TRUE	0	O que é uma turbina eólica?	2
TECNOLOGIAS	O que é a energia geotérmica?	Energia gerada a partir da queima de combustíveis fósseis	Energia proveniente do movimento das marés	Energia obtida a partir do calor da Terra	Energia gerada por ondas oceânicas	3	TRUE	1	O que é a energia geotérmica?	3	TRUE	1	O que é a energia geotérmica?	4
TECNOLOGIAS	O que é a nanotecnologia?	A tecnologia de construção de estradas	A tecnologia de manipulação de átomos e moléculas	A tecnologia de energia solar	A tecnologia de telecomunicações	2	TRUE	2	O que é a nanotecnologia?	2	TRUE	2	O que é a nanotecnologia?	3
TECNOLOGIAS	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	Energia solar	Energia geotérmica	Energia hidroelétrica	Energia eólica	3	TRUE	3	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	3	TRUE	3	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	3
TECNOLOGIAS	O que é a engenharia genética?	Um campo de estudo que se concentra na construção de estruturas metálicas	Um processo de modificação do DNA de organismos vivos	Um método de produção de alimentos inorgânicos	Um tipo de engenharia de software	2	TRUE	4	O que é a engenharia genética?	2	TRUE	4	O que é a engenharia genética?	3
TECNOLOGIAS	O que é a robótica?	Um tipo de impressão 3D	Um campo de estudo que se concentra na criação de máquinas autónomas programáveis	Um método de agricultura orgânica	Um tipo de tecnologia espacial	2	TRUE	5	O que é a robótica?	2	TRUE	5	O que é a robótica?	2
TECNOLOGIAS	Qual é o nome do processo de conversão de materiais usados em novos produtos?	Renovação	Reciclagem	Incineração	Reparação	2	TRUE	6	Qual é o nome do processo de conversão de materiais usados em novos produtos?	1	TRUE	6	Qual é o nome do processo de conversão de materiais usados em novos produtos?	2
TECNOLOGIAS	O que é um gerador de biomassa?	Um gerador eólico movido a energia biológica	Uma turbina geradora de massa bilógica	Um dispositivo para produção de eletricidade a partir de resíduos orgânicos	Uma máquina de lavar roupa que respeita as fibras biológicas	3	TRUE	7	O que é um gerador de biomassa?	3	TRUE	7	O que é um gerador de biomassa?	4
TECNOLOGIAS	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	Compostagem	Reciclagem	Incineração	Armazenamento	1	TRUE	8	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	1	TRUE	8	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	2
TECNOLOGIAS	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	Realidade aumentada	Realidade virtual	Realidade mista	Realidade paralela	2	TRUE	9	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	2	TRUE	9	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	2
