id;photo_link;legend;;
1;https://live.staticflickr.com/65535/51874352785_e536866173_h.jpg;EDIFÍCIO 2;;
2;https://live.staticflickr.com/65535/51534702166_49503417eb_h.jpg;BAR DO EDIFÍCIO 2;;
3;https://live.staticflickr.com/65535/51981111237_70f9384898_h.jpg;GRANDE AUDITÓRIO;;
4;https://live.staticflickr.com/65535/50800264196_07820db87d_h.jpg;SALA DE ESTUDO;;
5;https://live.staticflickr.com/65535/49867541431_5b1e3d5eb6_h.jpg;CLUBE ISCTE;;
6;https://live.staticflickr.com/5537/14236346954_23902e9096_h.jpg;LAPSO;;
7;https://live.staticflickr.com/65535/50672722287_c384845400_h.jpg;BIBLIOTECA;;
8;https://live.staticflickr.com/65535/52018313672_d6abf875d0_h.jpg;BIOEMOTIONS (ANTIGO SR. ANTÓNIO);;
9;https://live.staticflickr.com/65535/51986377604_2cca608a0c_h.jpg;HALL DO EDIFÍCIO 1;;
10;https://live.staticflickr.com/65535/50371611558_16a9132c5c_h.jpg;FABLAB;;
11;https://live.staticflickr.com/3799/20065404018_fab7dc6ccb_h.jpg;IT/ISTAR;;
12;https://live.staticflickr.com/5314/14049944990_84a9a1157b_h.jpg;LABORATÓRIOS DE INFORMÁTICA (ALA D);;
13;https://live.staticflickr.com/65535/51285704100_b5857c1242_h.jpg;SALA DE ARQUITECTURA;;
14;https://live.staticflickr.com/65535/51872145316_c935fdb9b0_h.jpg;AUDITÓRIO JJ LAGINHA;;
15;https://live.staticflickr.com/65535/52019349226_513e0e9ce4_h.jpg;NÚCLEO ATENDIMENTO GERAL;;
16;https://live.staticflickr.com/8071/8286788361_46a93c066e_b.jpg;MURAL DO EDIFÍCIO 2;;
17;https://live.staticflickr.com/65535/51872747997_21640c4b2e_h.jpg;EDIFÍCIO 3 (ALA AUTÓNOMA);;
18;https://live.staticflickr.com/65535/52019871215_2c041e7324_h.jpg;CARRER SERVICES DA IBS;;
19;https://live.staticflickr.com/65535/51833830483_2c0fecfd23_h.jpg;SALA DE EXPOSIÇÕES;;
20;https://live.staticflickr.com/7007/6400396101_c2f421a5b5_h.jpg;GINÁSIO;;
21;https://live.staticflickr.com/5792/23160306783_4f1739f02b_h.jpg;CONTENTORES DA AEISCTE;;
22;https://live.staticflickr.com/65535/52019871135_3381158e2d_h.jpg;SERVIÇOS DE GESTÃO DE ENSINO;;
23;https://live.staticflickr.com/65535/52019871070_8320856671_h.jpg;TUNA ACADÉMICA;;
24;https://live.staticflickr.com/65535/51430037284_f804538be7_h.jpg;ESPLANADA DO ANTIGO BAR DA AE;;
